Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
R000000,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Market Research, Maven, Java, REST API, Spring Boot, Microservices, Statistics, SQL",Bachelor's in Computer Science,2,Market Research|Maven|Java|REST API|Spring Boot|Microservices|Statistics|SQL,Java Backend Developer,Technology
R000001,"Education: Master's in Microbiology Experience: 3 years Skills: Agile, Data Analysis, Precision, Problem Solving, Scala, Research, Business Development, Microbiology",Master's in Microbiology,3,Agile|Data Analysis|Precision|Problem Solving|Scala|Research|Business Development|Microbiology|Laboratory Work,Microbiologist,Science & Research
R000002,"Education: Apprenticeship Experience: 2 years Skills: React, Customer Service, Technical Knowledge, Plumbing Systems, Problem Solving, PostgreSQL, Code Knowledge, Creativity",Apprenticeship,2,React|Customer Service|Technical Knowledge|Plumbing Systems|Problem Solving|PostgreSQL|Code Knowledge|Creativity|Safety|iOS,Plumber,Skilled Trades
R000003,"Education: Bachelor's in Computer Science Experience: 0 years Skills: MySQL, Query Optimization, Symfony, Terraform, PHP, HTML/CSS, API Development, Financial Analysis",Bachelor's in Computer Science,0,MySQL|Query Optimization|Symfony|Terraform|PHP|HTML/CSS|API Development|Financial Analysis|Web Accessibility|Laravel|C++,PHP Developer,Technology
R000004,"Education: Bachelor's in Design Experience: 3 years Skills: Problem Solving, Docker, Creativity, Scrum, Ansible, Communication, Team Leadership, Design Principles",Bachelor's in Design,3,Problem Solving|Docker|Creativity|Scrum|Ansible|Communication|Team Leadership|Design Principles|Artistic Direction|Visual Communication,Art Director,Creative & Design
R000005,"Education: Administrative Certification Experience: 2 years Skills: CI/CD, Problem Solving, Database Design, PyTorch, Deep Learning, Communication, Executive Support, Discretion",Administrative Certification,2,CI/CD|Problem Solving|Database Design|PyTorch|Deep Learning|Communication|Executive Support|Discretion|Organization|Leadership Support|Creativity,Executive Assistant,Administration
R000006,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Distributed Systems, CQL, Cassandra, Performance, NoSQL, Scalability, Business Development, Machine Learning",Bachelor's in Computer Science,3,Distributed Systems|CQL|Cassandra|Performance|NoSQL|Scalability|Business Development|Machine Learning,Cassandra Developer,Technology
R000007,"Education: Bachelor's in IT Experience: 1 years Skills: Performance Tuning, SQL, ETL, Data Integration, JavaScript, Scikit-learn, Kanban, Web Accessibility",Bachelor's in IT,1,Performance Tuning|SQL|ETL|Data Integration|JavaScript|Scikit-learn|Kanban|Web Accessibility|GCP|Informatica|Data Quality,Informatica Developer,Data & Analytics
R000008,"Education: PT License Experience: 4 years Skills: Communication, Swift, Anatomy Knowledge, Exercise Prescription, Physical Therapy, Patient Assessment, Compassion, PHP",PT License,4,Communication|Swift|Anatomy Knowledge|Exercise Prescription|Physical Therapy|Patient Assessment|Compassion|PHP|Strategic Planning,Physical Therapist,Healthcare
R000009,"Education: Bachelor's in Computer Science Experience: 5 years Skills: PostgreSQL, Distributed Systems, Kanban, Phoenix Framework, Functional Programming, Compliance, Elixir, Erlang",Bachelor's in Computer Science,5,PostgreSQL|Distributed Systems|Kanban|Phoenix Framework|Functional Programming|Compliance|Elixir|Erlang|Problem Solving,Elixir Developer,Technology
R000010,"Education: Master's in Computer Science Experience: 6 years Skills: Statistics, Research, Deep Learning, Shell Scripting, Python, TensorFlow, PyTorch, Network Security",Master's in Computer Science,6,Statistics|Research|Deep Learning|Shell Scripting|Python|TensorFlow|PyTorch|Network Security,Machine Learning Engineer,Technology
R000011,"Education: Associate in Broadcast Technology Experience: 1 years Skills: Technical Knowledge, Safety, Jenkins, Attention to Detail, Equipment Operation, Graphic Design, Troubleshooting, Problem Solving",Associate in Broadcast Technology,1,Technical Knowledge|Safety|Jenkins|Attention to Detail|Equipment Operation|Graphic Design|Troubleshooting|Problem Solving|Swift|Broadcasting,Broadcast Technician,Entertainment & Media
R000012,"Education: Bachelor's in Environmental Science Experience: 4 years Skills: Problem Solving, Web Accessibility, Communication, Environmental Knowledge, Conservation, React Native, Swift, R",Bachelor's in Environmental Science,4,Problem Solving|Web Accessibility|Communication|Environmental Knowledge|Conservation|React Native|Swift|R|Safety|Law Enforcement|Microservices,Conservation Officer,Conservation
R000013,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Clojure, LispyScript, Concurrency, Functional Programming, Java Interop, Node.js, Presentation Skills",Bachelor's in Computer Science,4,Problem Solving|Clojure|LispyScript|Concurrency|Functional Programming|Java Interop|Node.js|Presentation Skills,Clojure Developer,Technology
R000014,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Account Management, Problem Solving, Client Relations, Python, Communication, Business Acumen, Technical Knowledge, Product Knowledge",Bachelor's in Computer Science,3,Account Management|Problem Solving|Client Relations|Python|Communication|Business Acumen|Technical Knowledge|Product Knowledge,Technical Account Manager,Technology
R000015,"Education: IT Certification Experience: 3 years Skills: Creativity, Scala, Tableau, Technical Expertise, System Design, IT Knowledge, Communication, Problem Solving",IT Certification,3,Creativity|Scala|Tableau|Technical Expertise|System Design|IT Knowledge|Communication|Problem Solving|Project Management,IT Consultant,Consulting
R000016,"Education: Bachelor's in Computer Science Experience: 3 years Skills: NoSQL, Scalability, Performance, Cassandra, Distributed Systems, CQL, Perl, Strategic Planning",Bachelor's in Computer Science,3,NoSQL|Scalability|Performance|Cassandra|Distributed Systems|CQL|Perl|Strategic Planning|Technical Writing|Penetration Testing,Cassandra Developer,Technology
R000017,"Education: Engineering License Experience: 5 years Skills: Adobe Creative Suite, Electrical Systems, Management, Safety, Problem Solving, iOS, Financial Analysis, Project Management",Engineering License,5,Adobe Creative Suite|Electrical Systems|Management|Safety|Problem Solving|iOS|Financial Analysis|Project Management|Leadership|PyTorch|Regulatory Knowledge,Electrical Utilities Manager,Energy & Utilities
R000018,"Education: Beauty School Experience: 2 years Skills: AWS, Nail Care, Jenkins, Artistry, Sanitation, Customer Service, Precision, Communication",Beauty School,2,AWS|Nail Care|Jenkins|Artistry|Sanitation|Customer Service|Precision|Communication|Business Acumen,Nail Technician,Beauty & Wellness
R000019,"Education: Experience Experience: 1 years Skills: Business Skills, Health Knowledge, Leadership, Responsive Design, Equipment, Problem Solving, Livestock Care, PostgreSQL",Experience,1,Business Skills|Health Knowledge|Leadership|Responsive Design|Equipment|Problem Solving|Livestock Care|PostgreSQL|Network Security,Livestock Manager,Agriculture
R000020,"Education: Bachelor's in Statistics Experience: 3 years Skills: Problem Solving, Data Management, Django, Visualization, Serverless, SAS, SQL, Statistical Analysis",Bachelor's in Statistics,3,Problem Solving|Data Management|Django|Visualization|Serverless|SAS|SQL|Statistical Analysis,SAS Programmer,Data & Analytics
R000021,"Education: Bachelor's in 3D Art Experience: 2 years Skills: Creativity, App Testing, Software Skills, Rendering, HTML, Texturing, 3D Modeling, Adobe Creative Suite",Bachelor's in 3D Art,2,Creativity|App Testing|Software Skills|Rendering|HTML|Texturing|3D Modeling|Adobe Creative Suite|Problem Solving,3D Artist,Creative & Design
R000022,"Education: Esthetics School Experience: 4 years Skills: Deep Learning, Technical Skills, Facial Treatment, Skincare, Communication, Business Development, MySQL, Customer Service",Esthetics School,4,Deep Learning|Technical Skills|Facial Treatment|Skincare|Communication|Business Development|MySQL|Customer Service|React Native|Product Knowledge,Esthetician,Beauty & Wellness
R000023,"Education: Bachelor's in Computer Science Experience: 3 years Skills: SQL, Analytics, React, dbt, Cloud Platforms, Documentation, Pandas, Creativity",Bachelor's in Computer Science,3,SQL|Analytics|React|dbt|Cloud Platforms|Documentation|Pandas|Creativity|MongoDB|Data Modeling|Python,Analytics Engineer,Data & Analytics
R000024,"Education: Bachelor's in IT Experience: 3 years Skills: Informatica, Performance Tuning, SQL, React, GCP, Data Integration, ETL, Data Quality",Bachelor's in IT,3,Informatica|Performance Tuning|SQL|React|GCP|Data Integration|ETL|Data Quality|Wireframing,Informatica Developer,Data & Analytics
R000025,"Education: Bachelor's in Statistics Experience: 0 years Skills: Terraform, SQL, Python, Excel, MongoDB, Statistical Analysis, Data Visualization, REST API",Bachelor's in Statistics,0,Terraform|SQL|Python|Excel|MongoDB|Statistical Analysis|Data Visualization|REST API|Tableau|HTML|Project Management,Data Analyst,Data & Analytics
R000026,"Education: Doctor of Pharmacy Experience: 4 years Skills: Patient Counseling, Attention to Detail, Microservices, Firewalls, Pharmacy Knowledge, Communication, MySQL, Drug Interactions",Doctor of Pharmacy,4,Patient Counseling|Attention to Detail|Microservices|Firewalls|Pharmacy Knowledge|Communication|MySQL|Drug Interactions|Accuracy,Pharmacist,Healthcare
R000027,"Education: Bachelor's in Computer Science Experience: 5 years Skills: API Development, Go, PyTorch, Concurrency, Scrum, Swift, Problem Solving, Responsive Design",Bachelor's in Computer Science,5,API Development|Go|PyTorch|Concurrency|Scrum|Swift|Problem Solving|Responsive Design|Web Accessibility|Docker|Microservices,Go Developer,Technology
R000028,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Conservation, Problem Solving, User Experience, Environmental Knowledge, Safety, Law Enforcement, Creativity, Penetration Testing",Bachelor's in Environmental Science,3,Conservation|Problem Solving|User Experience|Environmental Knowledge|Safety|Law Enforcement|Creativity|Penetration Testing|Node.js|Communication|Budget Management,Conservation Officer,Conservation
R000029,"Education: Master's in Business Experience: 8 years Skills: User Experience, Department Management, Leadership, GCP, Decision Making, Strategic Planning, Budget Control, GraphQL",Master's in Business,8,User Experience|Department Management|Leadership|GCP|Decision Making|Strategic Planning|Budget Control|GraphQL|Database Design|Communication,Director,Private Sector Management
R000030,"Education: Bachelor's in Production Experience: 2 years Skills: Technical Knowledge, Communication, Problem Solving, Creativity, Leadership, Negotiation, Production Management, Angular",Bachelor's in Production,2,Technical Knowledge|Communication|Problem Solving|Creativity|Leadership|Negotiation|Production Management|Angular,Producer,Entertainment & Media
R000031,"Education: Bachelor's in Game Development Experience: 2 years Skills: Game Physics, C++, SQL, Penetration Testing, App Testing, Graphics Programming, Unreal Engine, Unity",Bachelor's in Game Development,2,Game Physics|C++|SQL|Penetration Testing|App Testing|Graphics Programming|Unreal Engine|Unity|Time Management|HTML|C#,Game Developer,Technology
R000032,"Education: Bachelor's in Geology Experience: 3 years Skills: Research, Analysis, Technical Knowledge, TensorFlow, Negotiation, Field Work, HTML, Geology",Bachelor's in Geology,3,Research|Analysis|Technical Knowledge|TensorFlow|Negotiation|Field Work|HTML|Geology|Problem Solving,Geologist,Science & Research
R000033,"Education: Teaching Credential Experience: 1 years Skills: Patience, Figma, Instruction, HTML, Classroom Management, Market Research, Communication, Curriculum Development",Teaching Credential,1,Patience|Figma|Instruction|HTML|Classroom Management|Market Research|Communication|Curriculum Development|Student Assessment,Teacher,Education & Training
R000034,"Education: Bachelor's in Journalism Experience: 1 years Skills: Business Acumen, Android, Attention to Detail, Documentation, Technical Writing, Content Editing, Communication, Organization",Bachelor's in Journalism,1,Business Acumen|Android|Attention to Detail|Documentation|Technical Writing|Content Editing|Communication|Organization|Writing|Management,Editor,Entertainment & Media
R000035,"Education: Bachelor's in Engineering Experience: 3 years Skills: Communication, Customer Relations, Sales, Product Knowledge, Technical Problem Solving, Presentation, Solution Design, Adaptability",Bachelor's in Engineering,3,Communication|Customer Relations|Sales|Product Knowledge|Technical Problem Solving|Presentation|Solution Design|Adaptability|C#|SEO,Solutions Engineer,Technology
R000036,"Education: Bachelor's in Marketing Experience: 4 years Skills: Sales, Automation Platforms, Segmentation, Copywriting, A/B Testing, Analytics, Azure, Email Campaign Management",Bachelor's in Marketing,4,Sales|Automation Platforms|Segmentation|Copywriting|A/B Testing|Analytics|Azure|Email Campaign Management,Email Marketing Specialist,Marketing & Sales
R000037,"Education: Bachelor's in Operations Experience: 3 years Skills: Safety, PostgreSQL, Equipment Maintenance, Problem Solving, Communication, Staff Management, Production Planning, Quality Control",Bachelor's in Operations,3,Safety|PostgreSQL|Equipment Maintenance|Problem Solving|Communication|Staff Management|Production Planning|Quality Control,Production Manager,Operations & Supply Chain
R000038,"Education: Bachelor's in Computer Engineering Experience: 5 years Skills: Sensors, IoT Technology, System Design, P&L Management, Embedded Systems, CI/CD, MySQL, AWS",Bachelor's in Computer Engineering,5,Sensors|IoT Technology|System Design|P&L Management|Embedded Systems|CI/CD|MySQL|AWS|C/C++|Networking|Adaptability,IoT Engineer,Technology
R000039,"Education: Master's in Business Experience: 9 years Skills: Operations Management, Business Operations, Leadership, SEO, Docker, Decision Making, Strategic Thinking, Communication",Master's in Business,9,Operations Management|Business Operations|Leadership|SEO|Docker|Decision Making|Strategic Thinking|Communication,COO,Private Sector Management
R000040,"Education: Bachelor's in IT Experience: 3 years Skills: Database Design, SQL, Perl, Agile, Performance, ETL Tools, Problem Solving, Data Quality",Bachelor's in IT,3,Database Design|SQL|Perl|Agile|Performance|ETL Tools|Problem Solving|Data Quality|Data Integration,ETL Developer,Data & Analytics
R000041,"Education: IT Certification Experience: 5 years Skills: Ansible, Kubernetes, Graphic Design, Scikit-learn, Linux, Scripting, Docker, Documentation",IT Certification,5,Ansible|Kubernetes|Graphic Design|Scikit-learn|Linux|Scripting|Docker|Documentation|AWS|CI/CD|Query Optimization,DevOps Engineer,Technology
R000042,"Education: Master's in Counseling Experience: 3 years Skills: Ansible, Communication, Android, Active Listening, Empathy, Treatment Planning, Problem Solving, Counseling",Master's in Counseling,3,Ansible|Communication|Android|Active Listening|Empathy|Treatment Planning|Problem Solving|Counseling|C++|PostgreSQL|C#,Counselor,Human Services & Social Work
R000043,"Education: Bachelor's in Business Experience: 1 years Skills: Responsive Design, Requirements Gathering, Process Improvement, Excel, Web Accessibility, Documentation, Prototyping, Business Development",Bachelor's in Business,1,Responsive Design|Requirements Gathering|Process Improvement|Excel|Web Accessibility|Documentation|Prototyping|Business Development|JavaScript|SQL|Stakeholder Communication,Business Analyst,Data & Analytics
